,Data,Hora,Temperatura,Umidade,Dia,Mes,Ano,Radiacao
89,2009-01-07,14,27.6,76.0,7,1,2009,1762.1
90,2009-01-07,15,29.6,72.0,7,1,2009,1836.1
91,2009-01-07,16,30.0,69.0,7,1,2009,1831.6
92,2009-01-07,17,30.6,67.0,7,1,2009,2235.3
93,2009-01-07,18,29.4,72.0,7,1,2009,2069.8
94,2009-01-07,19,27.8,80.0,7,1,2009,1089.0
95,2009-01-07,20,23.1,93.0,7,1,2009,82.8
96,2009-01-07,21,23.3,93.0,7,1,2009,85.0
97,2009-01-07,22,23.2,94.0,7,1,2009,19.5
98,2009-01-08,9,22.9,93.0,8,1,2009,0.2923076923076923
99,2009-01-08,10,22.9,93.0,8,1,2009,8.4
100,2009-01-08,11,23.6,91.0,8,1,2009,227.2
101,2009-01-08,12,24.4,87.0,8,1,2009,556.3
102,2009-01-08,13,24.9,84.0,8,1,2009,882.6
103,2009-01-08,14,25.8,80.0,8,1,2009,1471.2
104,2009-01-08,15,26.3,78.0,8,1,2009,1243.8
105,2009-01-08,16,26.8,78.0,8,1,2009,1291.0
106,2009-01-08,17,28.1,71.0,8,1,2009,1630.1
107,2009-01-08,18,29.7,66.0,8,1,2009,1975.1
108,2009-01-08,19,28.9,68.0,8,1,2009,1234.4
109,2009-01-08,20,28.2,72.0,8,1,2009,702.6
110,2009-01-08,21,27.7,73.0,8,1,2009,461.4
111,2009-01-08,22,26.4,82.0,8,1,2009,76.7
112,2009-01-09,9,23.5,91.0,9,1,2009,0.2923076923076923
113,2009-01-09,10,23.5,92.0,9,1,2009,24.0
114,2009-01-09,11,24.6,88.0,9,1,2009,323.0
115,2009-01-09,12,26.7,78.0,9,1,2009,1181.3
116,2009-01-09,13,28.5,71.0,9,1,2009,2482.0
117,2009-01-09,14,29.9,65.0,9,1,2009,2942.4
118,2009-01-09,15,31.0,60.0,9,1,2009,3145.8
119,2009-01-09,16,30.3,63.0,9,1,2009,3304.4
120,2009-01-09,17,30.8,60.0,9,1,2009,2767.1
121,2009-01-09,18,27.4,83.0,9,1,2009,880.3
122,2009-01-09,19,26.7,77.0,9,1,2009,387.4
123,2009-01-09,20,23.7,91.0,9,1,2009,135.4
124,2009-01-09,21,24.3,89.0,9,1,2009,283.6
125,2009-01-09,22,24.3,91.0,9,1,2009,110.3
126,2009-01-10,9,21.9,96.0,10,1,2009,0.2923076923076923
127,2009-01-10,10,22.0,96.0,10,1,2009,23.9
128,2009-01-10,11,24.2,90.0,10,1,2009,541.2
129,2009-01-10,12,25.1,87.0,10,1,2009,748.3
130,2009-01-10,13,26.1,82.0,10,1,2009,1149.1
131,2009-01-10,14,27.2,76.0,10,1,2009,1549.7
132,2009-01-10,15,29.3,71.0,10,1,2009,2104.5
133,2009-01-10,16,29.6,65.0,10,1,2009,2127.5
134,2009-01-10,17,28.4,73.0,10,1,2009,2558.8
135,2009-01-10,18,26.8,84.0,10,1,2009,2750.7
136,2009-01-10,19,30.1,71.0,10,1,2009,2114.6
137,2009-01-10,20,29.8,70.0,10,1,2009,1709.8
138,2009-01-10,21,28.3,73.0,10,1,2009,393.7
139,2009-01-10,22,27.0,81.0,10,1,2009,168.4
140,2009-01-11,9,23.4,94.0,11,1,2009,0.2923076923076923
141,2009-01-11,10,23.4,93.0,11,1,2009,32.4
142,2009-01-11,11,25.2,82.0,11,1,2009,577.2
143,2009-01-11,12,25.7,81.0,11,1,2009,845.4
144,2009-01-11,13,26.5,76.0,11,1,2009,1251.4
145,2009-01-11,14,27.6,73.0,11,1,2009,2094.4
146,2009-01-11,15,29.2,66.0,11,1,2009,2077.8
147,2009-01-11,16,29.0,65.0,11,1,2009,1994.7
148,2009-01-11,17,29.3,66.0,11,1,2009,2378.3
149,2009-01-11,18,30.8,60.0,11,1,2009,2364.8
150,2009-01-11,19,30.6,63.0,11,1,2009,2265.3
151,2009-01-11,20,29.6,65.0,11,1,2009,1603.9
152,2009-01-11,21,27.8,66.0,11,1,2009,918.2
153,2009-01-11,22,25.8,74.0,11,1,2009,142.3
154,2009-01-12,9,23.0,91.0,12,1,2009,0.2923076923076923
155,2009-01-12,10,23.0,91.0,12,1,2009,21.4
156,2009-01-12,11,24.2,86.0,12,1,2009,565.9
157,2009-01-12,12,26.6,76.0,12,1,2009,1185.1
158,2009-01-12,13,28.0,69.0,12,1,2009,2286.8
159,2009-01-12,14,29.4,64.0,12,1,2009,3030.8
160,2009-01-12,15,30.3,56.0,12,1,2009,3368.8
161,2009-01-12,16,30.8,55.0,12,1,2009,3592.7
162,2009-01-12,17,31.5,52.0,12,1,2009,3372.5
163,2009-01-12,18,31.1,53.0,12,1,2009,2658.7
164,2009-01-12,19,31.8,51.0,12,1,2009,2617.9
165,2009-01-12,20,31.6,51.0,12,1,2009,1707.9
166,2009-01-12,21,30.8,56.0,12,1,2009,942.4
167,2009-01-12,22,28.9,67.0,12,1,2009,170.4
168,2009-01-13,9,22.4,95.0,13,1,2009,0.2923076923076923
169,2009-01-13,10,22.7,94.0,13,1,2009,19.8
170,2009-01-13,11,25.3,85.0,13,1,2009,497.4
171,2009-01-13,12,27.3,77.0,13,1,2009,1374.0
172,2009-01-13,13,27.5,72.0,13,1,2009,1293.0
173,2009-01-13,14,28.5,71.0,13,1,2009,1381.0
174,2009-01-13,15,29.4,64.0,13,1,2009,3059.5
175,2009-01-13,16,28.9,68.0,13,1,2009,2495.2
176,2009-01-13,17,30.3,65.0,13,1,2009,2032.0
177,2009-01-13,18,31.7,55.0,13,1,2009,3151.2
178,2009-01-13,19,32.3,52.0,13,1,2009,2543.6
179,2009-01-13,20,26.3,82.0,13,1,2009,1361.5
180,2009-01-13,21,26.0,82.0,13,1,2009,534.0
181,2009-01-13,22,25.7,84.0,13,1,2009,75.9
182,2009-01-14,9,22.8,95.0,14,1,2009,0.2923076923076923
183,2009-01-14,10,22.5,96.0,14,1,2009,34.4
184,2009-01-14,11,23.0,96.0,14,1,2009,339.7
185,2009-01-14,12,25.3,87.0,14,1,2009,1023.8
186,2009-01-14,13,27.8,73.0,14,1,2009,1951.8
187,2009-01-14,14,29.1,67.0,14,1,2009,1917.7
188,2009-01-14,15,29.7,64.0,14,1,2009,2136.9
189,2009-01-14,16,30.0,64.0,14,1,2009,2915.1
190,2009-01-14,17,31.1,60.0,14,1,2009,2581.6
191,2009-01-14,18,31.8,59.0,14,1,2009,2717.2
192,2009-01-14,19,31.6,56.0,14,1,2009,2338.9
193,2009-01-14,20,32.6,55.0,14,1,2009,1498.2
194,2009-01-14,21,31.2,61.0,14,1,2009,845.9
195,2009-01-14,22,22.4,93.0,14,1,2009,189.3
196,2009-01-15,9,21.5,95.0,15,1,2009,0.2923076923076923
197,2009-01-15,10,21.5,95.0,15,1,2009,21.5
198,2009-01-15,11,23.1,92.0,15,1,2009,376.7
199,2009-01-15,12,26.2,79.0,15,1,2009,1475.6
200,2009-01-15,13,26.8,76.0,15,1,2009,1358.9
201,2009-01-15,14,27.5,75.0,15,1,2009,1118.6
202,2009-01-15,15,29.0,69.0,15,1,2009,2187.7
203,2009-01-15,16,29.5,62.0,15,1,2009,2640.6
204,2009-01-15,17,29.6,65.0,15,1,2009,2195.4
205,2009-01-15,18,31.4,53.0,15,1,2009,2737.9
206,2009-01-15,19,27.6,71.0,15,1,2009,2154.5
207,2009-01-15,20,28.6,71.0,15,1,2009,1614.1
208,2009-01-15,21,28.9,68.0,15,1,2009,1025.7
209,2009-01-15,22,24.6,83.0,15,1,2009,288.5
210,2009-01-16,9,23.0,93.0,16,1,2009,0.2923076923076923
211,2009-01-16,10,23.0,92.0,16,1,2009,20.4
212,2009-01-16,11,24.4,87.0,16,1,2009,483.1
213,2009-01-16,12,24.5,87.0,16,1,2009,521.1
214,2009-01-16,13,26.4,79.0,16,1,2009,1038.4
215,2009-01-16,14,27.6,75.0,16,1,2009,1645.2
216,2009-01-16,15,26.6,76.0,16,1,2009,1958.4
217,2009-01-16,16,25.0,86.0,16,1,2009,953.8
218,2009-01-16,17,26.2,81.0,16,1,2009,1030.1
219,2009-01-16,18,28.8,64.0,16,1,2009,3025.8
220,2009-01-16,19,29.1,66.0,16,1,2009,1960.6
221,2009-01-16,20,29.8,65.0,16,1,2009,1211.7
222,2009-01-16,21,29.1,66.0,16,1,2009,866.0
223,2009-01-16,22,27.3,76.0,16,1,2009,100.0
224,2009-01-17,9,23.3,94.0,17,1,2009,0.2923076923076923
225,2009-01-17,10,22.8,94.0,17,1,2009,25.422389407162207
226,2009-01-17,11,22.6,94.0,17,1,2009,69.9
227,2009-01-17,12,23.6,90.0,17,1,2009,509.4
228,2009-01-17,13,24.7,87.0,17,1,2009,874.6
229,2009-01-17,14,25.6,82.0,17,1,2009,844.6
230,2009-01-17,15,26.9,76.0,17,1,2009,1498.5
231,2009-01-17,16,28.8,69.0,17,1,2009,3237.8
232,2009-01-17,17,29.2,68.0,17,1,2009,2745.1
233,2009-01-17,18,30.7,60.0,17,1,2009,3088.5
234,2009-01-17,19,29.8,64.0,17,1,2009,2146.7
235,2009-01-17,20,29.2,72.0,17,1,2009,1325.3
236,2009-01-17,21,28.7,73.0,17,1,2009,852.1
237,2009-01-17,22,27.5,82.0,17,1,2009,89.0
238,2009-01-18,9,22.4,94.0,18,1,2009,0.2923076923076923
239,2009-01-18,10,22.6,94.0,18,1,2009,22.2
240,2009-01-18,11,22.8,93.0,18,1,2009,114.5
